,last_update,pub_key,alias,addresses,color,num_channels,total_capacity
16174,1667420345.0,03e17af6d59bab204d723ae3c47a527128b4e2df760dab10b23f93cde7e1a96787,03e17af6d59bab204d72,"[{'network': 'tcp', 'addr': 'pl236ztvyhq6wek6gfkmy36vkvmu34fdvqzap7jl4ih6aou3ddx77lyd.onion:9735'}]",#3399ff,2,0.0035
16175,1647108212.0,03e1802461c518b352fa50f414a6b47cd4d904f2e93da5b49ccc718e477eb0372f,nobblet-receive,"[{'network': 'tcp', 'addr': '3.19.250.172:9735'}]",#000fff,2,0.11
16176,1667412621.0,03e18892b70da265e79a0170825d358a4dfcbe93e15070a937959275e638bef503,NodeAusgang,"[{'network': 'tcp', 'addr': '185.228.139.178:9735'}, {'network': 'tcp', 'addr': 'eendfm5sgqka2lz3jjq2i2ozazpq5dkdrs7wbjkxyfld6x36mlsucnyd.onion:9735'}]",#237f52,16,0.68109577
16177,1662380300.0,03e190704dc6db17fd1d16dfed4d085019183b8eac5fbbfdefb8a4304cb8e9e22b,03e190704dc6db17fd1d,"[{'network': 'tcp', 'addr': 'f2gkwivunxusej5cgwo7zbsdbpeetkhfuprzuaiicj54unfslsfx6nid.onion:9735'}]",#3399ff,5,0.0051
16178,1665627286.0,03e19bc568a7cb3d4478c8f0a877f308c563ff8a7874a1389f91bd7bc79d1772bf,03e19bc568a7cb3d4478,"[{'network': 'tcp', 'addr': 'xbw3prcoxz75l3fzetmcllakpcikszxzgaqxt5llfej3feu2bscl3mqd.onion:9735'}]",#3399ff,2,0.0025
16179,1666898382.0,03e1a9ecc1b00c79000e59d8e4422e4aa4707d9d13b9aa60a758455b425a9f241d,03e1a9ecc1b00c79000e,"[{'network': 'tcp', 'addr': '3brzjv7l7o44zbxhaykjx7aejcsbwo5peng5fmg34qbmru7wzutforid.onion:9735'}]",#3399ff,1,0.005
16180,1648230753.0,03e1b9e6ca5d912254060927794efd3b96a8149f9d360bbec68e693fe7c47a8235,MemeracingLN,"[{'network': 'tcp', 'addr': '172.81.183.236:9735'}, {'network': 'tcp', 'addr': '7porym5sb6d6yxil4egvxshzuy2vjgwxhdaei2ri2xvlodtzdcwyolid.onion:9735'}]",#68f442,12,0.32066948
16181,1667405733.0,03e1bc634410642ff89fbee8d9c7a2c61b3b35dc1e45f32efcaa7ad52a6e6ae70b,03e1bc634410642ff89f,"[{'network': 'tcp', 'addr': 'zgwigbq5nbsz6vf2tnswkn3ulhiqqqwq5pi2tw4zx6b5lm7cokqu4iyd.onion:9735'}]",#3399ff,2,0.01107004
16182,1667459302.0,03e1be7d812138e9fca1b973d1b707da4119aace3a3292e77d502794e4ce1ff733,GBB-Frankfurt,"[{'network': 'tcp', 'addr': '7y6s3cbxhamfpye4miy47jmmjha47xjx4zbapbak5pxqfdssttln4xid.onion:9735'}]",#ff8916,8,0.07700021
16183,1549014448.0,03e1c1c6a49d4045a015cd1c2d2da3b8c0acc1e15f7d391230a8211d066a6dbf7c,MySharona,"[{'network': 'tcp', 'addr': '31.168.211.168:9735'}]",#03e1c1,1,0.00378968
16184,1667389092.0,03e1ca244b83a4e0cc4cb2cb19a477667a4d8c970a4101d76363a9208be079ec23,03e1ca244b83a4e0cc4c,"[{'network': 'tcp', 'addr': 'w7unv2mei4mb45txn2xbpx7az54pvxpokx7p3xpxsi25lnl2u7e4quyd.onion:9735'}]",#3399ff,5,0.0227
16185,1665774972.0,03e1cc57d8cf1d38fd6f0ab4ca6d5dcb655bb971cd1511559f36667eee6f9d6cdc,03e1cc57d8cf1d38fd6f,"[{'network': 'tcp', 'addr': 'hpocckxl24honskxh2moi7ibyz7z7csj2ns6zu3ml2uisvlyynkpiiqd.onion:9735'}]",#3399ff,1,0.01009012
16186,1667438689.0,03e1d5b2fb939b270d7ff8d49c138ac3726689acdd99e16fdda06dc96187806430,CashIsNotKing,"[{'network': 'tcp', 'addr': 'emgtci2ut4fh774yifut4s6veoiyhz64ooy63y2yxl4qar4bace6tzad.onion:9735'}]",#003366,13,0.132
16187,1584231614.0,03e1d6ae1a7a93dc9de675f687d54a82d2ce4d14fe9440b280b7deb8f69546db54,antidomingo,[],#3399ff,1,0.0002
